路线编号,所在行政区划代码,路线名称,路段起止名称_起点名称,路段起止名称_止点名称,路段起止桩号_起点桩号,路段起止桩号_止点桩号,里程（公里）,路段基本属性_技术等级_代码,路段基本属性_技术等级_等级,路段基本属性_是否一幅高速,路段基本属性_车道数量(个),路段基本属性_面层类型_代码,路段基本属性_面层类型_类型,路段基本属性_路基宽度(米),路段基本属性_路面宽度(米),路段基本属性_面层厚度(厘米),路段基本属性_设计时速,路段基本属性_抗震等级,路段基本属性_防洪标准,修建改建_修建年度,修建改建_改建年度,最近一次修复养护年度,断链类型,是否城管路段,是否断头路段,收费路段性质,被重复主线_路线编号,被重复主线_起点桩号,被重复主线_终点桩号,被重复主线_是否长链,养护管理情况（公里）_养护里程,养护管理情况（公里）_可绿化里程,养护管理情况（公里）_已绿化里程,地貌,涵洞数量（个）,管养单位名称,省际出入口,国道调整前路线编号,是否按干线公路管理接养,备注
G10,230183,绥芬河—满洲里（绥满高速）,尚志工区/亚布力工区,一面坡镇,290.174,323.497,33.323,10,高速,否,4.0,11,沥青混凝土,24.5,22.6,12,80,0.05或6度,100.0,2007.0,2012.0,,0,否,否,还贷,,,,,33.323,33.323,33.323,山岭,88,龙高公路养护工程公司, ,G10,是,
G10,230183,绥芬河—满洲里（绥满高速）,一面坡镇,玉泉工区/尚志工区,323.497,350.062,26.565,10,高速,否,4.0,11,沥青混凝土,24.5,22.6,12,80,0.05或6度,100.0,2007.0,2012.0,,0,否,否,还贷,,,,,26.565,26.565,26.565,山岭,41,龙高公路养护工程公司, ,G10,是,
G10,230183,绥芬河—满洲里（绥满高速）,玉泉工区/尚志工区,尚志/阿城界,350.062,388.991,38.929,10,高速,否,4.0,11,沥青混凝土,24.5,22.6,12,100,0.05或6度,100.0,2005.0,2012.0,,0,否,否,还贷,,,,,38.929,38.929,38.929,山岭,131,龙高公路养护工程公司, ,G10,是,
G10,230112,绥芬河—满洲里（绥满高速）,尚志/阿城界,沥青/混凝土路面一,388.991,401.99,12.999,10,高速,否,4.0,11,沥青混凝土,24.5,22.6,12,100,0.05或6度,100.0,1995.0,2012.0,,0,否,否,还贷,,,,,12.999,12.999,12.999,山岭,34,龙高公路养护工程公司, ,G10,是,
G10,230112,绥芬河—满洲里（绥满高速）,沥青/混凝土路面一,哈工区/玉泉工区,401.99,416.093,14.103,10,高速,否,4.0,11,沥青混凝土,24.5,22.6,12,100,0.05或6度,100.0,2005.0,2012.0,,0,否,否,还贷,,,,,14.103,14.103,14.103,山岭,34,龙高公路养护工程公司, ,G10,是,
G10,230112,绥芬河—满洲里（绥满高速）,哈工区/玉泉工区,阿城/哈尔滨界,416.093,458.525,42.432,10,高速,否,4.0,11,沥青混凝土,24.5,22.6,12,100,0.05或6度,100.0,1997.0,2012.0,,0,否,否,还贷,,,,,42.432,42.432,42.432,平原,84,龙高公路养护工程公司, ,G10,是,
G10,230112,绥芬河—满洲里（绥满高速）,阿城/哈尔滨界,路线起点（柳树林）,458.525,460.832,2.307,10,高速,否,4.0,11,沥青混凝土,24.5,22.6,12,100,0.05或6度,100.0,1997.0,2012.0,,0,否,否,还贷,,,,,2.307,2.307,2.307,平原,4,龙高公路养护工程公司, ,G10,是,
G10,230110,绥芬河—满洲里（绥满高速）,路线起点（柳树林）,瓦盆窑,460.832,471.871,11.039,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2001.0,,,0,否,否,还贷,,,,,11.039,11.039,11.039,平原,3,养护科技哈尔滨分公司, ,G10,是,
G10,230103,绥芬河—满洲里（绥满高速）,瓦盆窑,哈肇工区起点/柳树林工区终点,471.871,486.553,14.682,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2004.0,,,0,否,否,还贷,,,,,14.682,14.682,14.682,平原,7,养护科技哈尔滨分公司, ,G10,是,
G10,230103,绥芬河—满洲里（绥满高速）,哈肇工区起点/柳树林工区终点,绥满高速重复段终点,486.553,504.63,18.077,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2004.0,,,0,否,否,还贷,,,,,18.077,18.077,18.077,平原,11,养护科技哈尔滨分公司, ,G10,是,
G10,230111,绥芬河—满洲里（绥满高速）,绥满高速重复段终点,哈尔滨/呼兰界,504.63,516.36,11.73,10,高速,否,4.0,11,沥青混凝土,24.5,18.0,12,120,0.05或6度,100.0,1991.0,2007.0,,0,否,否,经营,,,,,11.73,11.73,11.73,平原,20,龙江交通哈大高速公路养护分公司, ,G10,是,
G10,230111,绥芬河—满洲里（绥满高速）,哈尔滨/呼兰界,呼兰/肇东界,516.36,520.087,3.727,10,高速,否,4.0,11,沥青混凝土,24.5,18.0,12,120,0.05或6度,100.0,1991.0,2007.0,,0,否,否,经营,,,,,3.727,3.727,3.727,平原,4,龙江交通哈大高速公路养护分公司, ,G10,是,
G10,231282,绥芬河—满洲里（绥满高速）,呼兰/肇东界,第一工区界,520.087,569.124,49.037,10,高速,否,4.0,11,沥青混凝土,24.5,18.0,12,120,<0.05或6度以下,100.0,1991.0,2007.0,,0,否,否,经营,,,,,49.037,49.037,49.037,平原,66,龙江交通哈大高速公路养护分公司, ,G10,是,
G10,231282,绥芬河—满洲里（绥满高速）,第一工区界,肇东/安达界,569.124,599.277,30.153,10,高速,否,4.0,11,沥青混凝土,24.5,18.0,12,120,0.05或6度,100.0,1991.0,2007.0,,0,否,否,经营,,,,,30.153,30.153,30.153,平原,47,龙江交通哈大高速公路养护分公司, ,G10,是,
G10,231281,绥芬河—满洲里（绥满高速）,肇东/安达界,636+600上行,599.277,629.282,30.005,10,高速,否,4.0,11,沥青混凝土,24.5,18.0,12,120,0.05或6度,100.0,1991.0,2007.0,,0,否,否,经营,,,,,30.005,30.005,30.005,平原,44,龙江交通哈大高速公路养护分公司, ,G10,是,
G10,231281,绥芬河—满洲里（绥满高速）,636+600上行,637+951上行,629.282,637.927,8.645,10,高速,否,4.0,11,沥青混凝土,26.0,21.0,12,100,<0.05或6度以下,100.0,2021.0,,,0,否,否,还贷,,,,,8.645,8.645,8.645,平原,4,养护科技齐齐哈尔分公司, ,近年新建,是,
G10,230601,绥芬河—满洲里（绥满高速）,637+951上行,大庆/林甸县界,637.927,680.455,42.528,10,高速,否,4.0,11,沥青混凝土,24.0,21.0,12,100,<0.05或6度以下,100.0,2006.0,2009.0,,0,否,否,还贷,,,,,42.528,42.528,42.528,平原,45,养护科技齐齐哈尔分公司, ,G10,是,
G10,230623,绥芬河—满洲里（绥满高速）,大庆/林甸县界,林甸县/三合乡界,680.455,736.769,56.314,10,高速,否,4.0,11,沥青混凝土,24.0,21.0,12,100,<0.05或6度以下,100.0,2002.0,2010.0,,0,否,否,还贷,,,,,56.314,56.314,56.314,平原,15,养护科技齐齐哈尔分公司, ,G10,是,
G10,230623,绥芬河—满洲里（绥满高速）,林甸县/三合乡界,林甸县/齐齐哈尔界,736.769,755.432,18.663,10,高速,否,4.0,11,沥青混凝土,24.0,21.0,12,100,<0.05或6度以下,100.0,2002.0,2010.0,,0,否,否,还贷,,,,,18.663,18.663,18.663,平原,15,养护科技齐齐哈尔分公司, ,G10,是,
G10,230204,绥芬河—满洲里（绥满高速）,林甸县/齐齐哈尔界,齐齐哈尔/铁锋区界,755.432,781.067,25.635,10,高速,否,4.0,11,沥青混凝土,24.0,21.0,12,100,<0.05或6度以下,100.0,2002.0,2010.0,,0,否,否,还贷,,,,,25.635,25.635,25.635,平原,14,养护科技齐齐哈尔分公司, ,G10,是,
G10,230204,绥芬河—满洲里（绥满高速）,齐齐哈尔/铁锋区界,重复路段起点,781.067,782.141,1.074,10,高速,否,4.0,11,沥青混凝土,10.5,10.5,12,40,<0.05或6度以下,100.0,2011.0,,,0,否,否,还贷,,,,,1.074,1.074,1.074,平原,0,养护科技齐齐哈尔分公司, ,G10,是,已核实为高速匝道
G10,230203,绥芬河—满洲里（绥满高速）,重复路段起点,重复路段终点,782.141,785.213,3.072,10,高速,否,4.0,11,沥青混凝土,26.0,22.5,12,120,<0.05或6度以下,100.0,2010.0,,,0,否,否,还贷,,,,,3.072,3.072,3.072,平原,1,养护科技齐齐哈尔分公司, ,G10,是,
G10,230203,绥芬河—满洲里（绥满高速）,重复路段终点,建华区/梅里斯区界,785.213,800.718,15.505,10,高速,否,4.0,11,沥青混凝土,26.0,22.5,12,120,<0.05或6度以下,100.0,2011.0,,,0,否,否,还贷,,,,,15.505,15.505,15.505,平原,16,养护科技齐齐哈尔分公司, ,G10,是,
G10,230208,绥芬河—满洲里（绥满高速）,建华区/梅里斯区界,梅里斯工区/甘南工区,800.718,817.225,16.507,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,120,<0.05或6度以下,100.0,2011.0,,,0,否,否,还贷,,,,,16.507,16.507,16.507,平原,13,养护科技齐齐哈尔分公司, ,G10,是,
G10,230208,绥芬河—满洲里（绥满高速）,梅里斯工区/甘南工区,梅里斯区/甘南县界,817.225,843.843,26.618,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,120,<0.05或6度以下,100.0,2011.0,,,0,否,否,还贷,,,,,26.618,26.618,26.618,平原,25,养护科技齐齐哈尔分公司, ,G10,是,
G10,230225,绥芬河—满洲里（绥满高速）,梅里斯区/甘南县界,内蒙古界,843.843,884.347,40.504,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,120,<0.05或6度以下,100.0,2011.0,,,0,否,否,还贷,,,,,40.504,40.504,40.504,平原,41,养护科技齐齐哈尔分公司,2,G10,是,
G1001,230110,哈尔滨绕城高速,路线起点（柳树林）,瓦盆窑,0.0,11.039,11.039,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2001.0,,,0,否,否,还贷,G10,460.832,471.871,否,11.039,11.039,11.039,平原,0,养护科技哈尔滨分公司, ,G10,是,
G1001,230103,哈尔滨绕城高速,瓦盆窑,哈肇工区起点/柳树林工区终点,11.039,25.721,14.682,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2004.0,,,0,否,否,还贷,G10,471.871,486.553,否,14.682,14.682,14.682,平原,0,养护科技哈尔滨分公司, ,G10,是,
G1001,230103,哈尔滨绕城高速,哈肇工区起点/柳树林工区终点,绥满高速重复段终点,25.721,43.798,18.077,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2004.0,,,0,否,否,还贷,G10,486.553,504.63,否,18.077,18.077,18.077,平原,0,养护科技哈尔滨分公司, ,G10,是,
G1001,230103,哈尔滨绕城高速,绥满高速重复段终点,秦家,43.798,47.212,3.414,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2004.0,,,0,否,否,还贷,,,,,3.414,3.414,3.414,平原,3,养护科技哈尔滨分公司, ,G1001,是,
G1001,230103,哈尔滨绕城高速,秦家,哈肇工区终点/柳树林工区起点,47.212,71.629,24.417,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2009.0,,,0,否,否,还贷,,,,,24.417,24.417,24.417,平原,19,养护科技哈尔滨分公司, ,G1001,是,
G1001,230103,哈尔滨绕城高速,哈肇工区终点/柳树林工区起点,团结镇,71.629,73.034,1.405,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2009.0,,,0,否,否,还贷,,,,,1.405,1.405,1.405,平原,0,养护科技哈尔滨分公司, ,G1001,是,
G1001,230110,哈尔滨绕城高速,团结镇,路线起点（柳树林）,73.034,91.38,18.346,10,高速,否,4.0,11,沥青混凝土,28.0,23.5,12,120,0.05或6度,100.0,2001.0,,,0,否,否,还贷,,,,,18.346,18.346,18.346,平原,7,养护科技哈尔滨分公司, ,G1001,是,
G1011,230104,哈尔滨—同江（哈同高速）,哈尔滨,哈尔滨/阿城界,0.0,13.322,13.322,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,100,0.05或6度,100.0,2004.0,,,0,否,否,还贷,,,,,13.322,13.322,13.322,微丘,22,龙高公路养护工程公司, ,G1011,是,
G1011,230112,哈尔滨—同江（哈同高速）,哈尔滨/阿城界,阿城/宾县界,13.322,26.907,13.585,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,100,0.05或6度,100.0,2004.0,,,0,否,否,还贷,,,,,13.585,13.585,13.585,微丘,31,龙高公路养护工程公司, ,G1011,是,
G1011,230125,哈尔滨—同江（哈同高速）,阿城/宾县界,宾县/宾州养护工区,26.907,52.661,25.754,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,100,0.05或6度,100.0,2004.0,,,0,否,否,还贷,,,,,25.754,25.754,25.754,微丘,77,龙高公路养护工程公司, ,G1011,是,
G1011,230125,哈尔滨—同江（哈同高速）,宾县/宾州养护工区,常安,52.661,78.708,26.047,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,80,0.05或6度,100.0,2004.0,,,0,否,否,还贷,,,,,26.047,26.047,26.047,微丘,36,龙高公路养护工程公司, ,G1011,是,
G1011,230125,哈尔滨—同江（哈同高速）,常安,宾县/方正界,78.708,119.048,40.34,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,80,0.05或6度,100.0,2004.0,,,0,否,否,还贷,,,,,40.34,40.34,40.34,微丘,76,龙高公路养护工程公司, ,G1011,是,
G1011,230124,哈尔滨—同江（哈同高速）,宾县/方正界,方正,119.048,166.841,47.793,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,80,0.05或6度,100.0,2004.0,,,0,否,否,还贷,,,,,47.793,47.793,47.793,微丘,132,龙高公路养护工程公司, ,G1011,是,
G1011,230124,哈尔滨—同江（哈同高速）,方正,方正/高楞养护工区,166.841,180.619,13.778,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,80,0.05或6度,100.0,2005.0,,,0,否,否,还贷,,,,,13.778,13.778,13.778,微丘,42,龙高公路养护工程公司, ,G1011,是,
G1011,230124,哈尔滨—同江（哈同高速）,方正/高楞养护工区,方正/依兰界,180.619,224.767,44.148,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,80,0.05或6度,100.0,2005.0,,,0,否,否,还贷,,,,,44.148,44.148,44.148,微丘,147,龙高公路养护工程公司, ,G1011,是,
G1011,230123,哈尔滨—同江（哈同高速）,方正/依兰界,依兰,224.767,252.379,27.612,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,80,0.05或6度,100.0,2005.0,,,0,否,否,还贷,,,,,27.612,27.612,27.612,微丘,44,龙高公路养护工程公司, ,G1011,是,
G1011,230123,哈尔滨—同江（哈同高速）,依兰,依兰/宏克力养护工区,252.379,273.701,21.322,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,80,0.05或6度,100.0,2005.0,,,0,否,否,还贷,,,,,21.322,21.322,21.322,微丘,29,龙高公路养护工程公司, ,G1011,是,
G1011,230123,哈尔滨—同江（哈同高速）,依兰/宏克力养护工区,佳木斯/哈东分公司,273.701,292.224,18.523,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,80,0.05或6度,100.0,2005.0,,,0,否,否,还贷,,,,,18.523,18.523,18.523,微丘,21,龙高公路养护工程公司, ,G1011,是,
G1011,230123,哈尔滨—同江（哈同高速）,佳木斯/哈东分公司,依兰/佳木斯界,292.224,301.564,9.34,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,80,0.05或6度,100.0,2005.0,,,0,否,否,还贷,,,,,9.34,9.34,9.34,微丘,18,养护科技佳木斯分公司, ,G1011,是,
G1011,230811,哈尔滨—同江（哈同高速）,依兰/佳木斯界,K326+471,301.564,326.399,24.835,10,高速,否,4.0,11,沥青混凝土,24.5,22.0,12,80,0.05或6度,100.0,2005.0,,,0,否,否,还贷,,,,,24.835,24.835,24.835,微丘,42,养护科技佳木斯分公司, ,G1011,是,
G1011,230811,哈尔滨—同江（哈同高速）,K326+471,方正管理处/佳木斯管理处,326.399,327.494,1.095,10,高速,否,4.0,11,沥青混凝土,26.0,22.5,12,80,0.05或6度,100.0,2009.0,,,0,否,否,还贷,,,,,1.095,1.095,1.095,微丘,2,养护科技佳木斯分公司, ,G1011,是,
G1011,230811,哈尔滨—同江（哈同高速）,方正管理处/佳木斯管理处,佳木斯/桦川界,327.494,349.721,22.227,10,高速,否,4.0,11,沥青混凝土,26.0,22.5,12,120,0.05或6度,100.0,1999.0,2009.0,,0,否,否,还贷,,,,,22.227,22.227,22.227,微丘,25,养护科技佳木斯分公司, ,G1011,是,
G1011,230826,哈尔滨—同江（哈同高速）,佳木斯/桦川界,桦川/集贤界,349.721,365.276,15.555,10,高速,否,4.0,11,沥青混凝土,26.0,22.5,12,120,0.05或6度,100.0,1999.0,2009.0,,0,否,否,还贷,,,,,15.555,15.555,15.555,微丘,14,养护科技佳木斯分公司, ,G1011,是,
G1011,230521,哈尔滨—同江（哈同高速）,桦川/集贤界,集贤/集贤养护工区起点,365.276,401.008,35.732,10,高速,否,4.0,11,沥青混凝土,26.0,22.5,12,100,0.05或6度,100.0,1999.0,2009.0,,0,否,否,还贷,,,,,35.732,35.732,35.732,微丘,26,养护科技佳木斯分公司, ,G1011,是,
G1011,230521,哈尔滨—同江（哈同高速）,集贤/集贤养护工区起点,集贤收费站,401.008,401.275,0.267,10,高速,否,4.0,11,沥青混凝土,26.0,22.5,12,100,0.05或6度,100.0,1999.0,2009.0,,0,否,否,还贷,,,,,0.267,0.267,0.267,平原,0,养护科技佳木斯分公司, ,G1011,是,
G1011,230521,哈尔滨—同江（哈同高速）,集贤收费站,K404+120,401.275,403.836,2.561,10,高速,否,4.0,11,沥青混凝土,26.0,22.5,12,100,0.05或6度,100.0,1999.0,2009.0,,0,否,否,还贷,,,,,2.561,2.561,2.561,平原,1,养护科技佳木斯分公司, ,G1011,是,
G1011,230521,哈尔滨—同江（哈同高速）,K404+120,集贤/富锦界,403.836,436.758,32.922,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,32.922,32.922,32.922,平原,21,养护科技佳木斯分公司, ,G1011,是,
G1011,230882,哈尔滨—同江（哈同高速）,集贤/富锦界,富锦/集贤养护工区终点,436.758,457.733,20.975,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,20.975,20.975,20.975,平原,18,养护科技佳木斯分公司, ,G1011,是,
G1011,230882,哈尔滨—同江（哈同高速）,富锦/集贤养护工区终点,富锦/富锦养护工区终点,457.733,512.747,55.014,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,55.014,55.014,55.014,平原,31,养护科技佳木斯分公司, ,G1011,是,
G1011,230882,哈尔滨—同江（哈同高速）,富锦/富锦养护工区终点,富锦/同江界,512.747,546.449,33.702,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,33.702,33.702,33.702,平原,30,养护科技佳木斯分公司, ,G1011,是,
G1011,230881,哈尔滨—同江（哈同高速）,富锦/同江界,乐业镇,546.449,556.069,9.62,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,9.62,9.62,9.62,平原,3,养护科技佳木斯分公司, ,G1011,是,
G1011,230881,哈尔滨—同江（哈同高速）,乐业镇,向阳乡,556.069,561.139,5.07,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,22,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,5.07,5.07,5.07,平原,0,养护科技佳木斯分公司, ,G1011,是,
G1011,230881,哈尔滨—同江（哈同高速）,向阳乡,加油站,561.139,570.532,9.393,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,22,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,9.393,9.393,9.393,平原,14,养护科技佳木斯分公司, ,G1011,是,
G1011,230881,哈尔滨—同江（哈同高速）,加油站,同江/同江养护工区终点,570.532,571.641,1.109,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,22,80,0.05或6度,100.0,2011.0,,,0,否,否,还贷,,,,,1.109,1.109,1.109,平原,1,养护科技佳木斯分公司, ,G1011,是,
G1011,230881,哈尔滨—同江（哈同高速）,同江/同江养护工区终点,江边公园,571.641,575.066,3.425,11,一级,否,4.0,12,水泥混凝土,24.5,23.0,22,80,0.05或6度,100.0,2011.0,,,0,否,否,非收费,,,,,3.425,3.425,3.425,平原,5,同江市公路事业发展中心, ,G1011,是,
G1012,230882,建三江—黑瞎子岛,建三江,七星二分场75队,0.0,22.435,22.435,10,高速,否,4.0,11,沥青混凝土,24.5,21.0,12,120,<0.05或6度以下,100.0,2011.0,,,0,否,否,还贷,,,,,22.435,20.0,20.0,平原,26,北大荒集团建虎高速公路, ,S402,是,
