"序号","路线编号","路段简称","来源名称","来源编号","巡查日期","工程部位","病害类型","病害名称","发现时间","路线编号","方向","桩号","车道","位置","灾害长度","单位","自动识别可信度"
1866853243241009157,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K562+965,2,"115.778839,36.495552",3.129,米,0.96
1866853243241009158,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K563+060,2,"115.777835,36.495820",0.588,米,0.97
1866853243241009159,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K565+264,3,"115.754363,36.492040",0.008,米,0.96
1866853243245203462,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K566+306,1,"115.742775,36.492833",0.673,米,0.96
1866860285552922627,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K567+978,3,"115.724143,36.492913",7.028,米,0.97
1866860285552922628,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K568+302,1,"115.720527,36.492914",0.118,米,0.97
1866860285552922629,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K568+424,3,"115.719168,36.492983",4.912,米,0.97
1866860285557116929,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K568+425,1,"115.719157,36.492923",0.419,米,0.98
1866860285557116931,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K569+495,1,"115.707236,36.493443",1.07,米,0.96
1866860285557116932,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K569+525,2,"115.706904,36.493478",0.225,米,0.97
1866860285557116933,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K570+185,2,"115.699554,36.493849",0.32,米,0.98
1866860285557116934,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K570+304,2,"115.698229,36.493915",0.331,米,0.96
1866860285557116935,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K570+478,3,"115.696300,36.494047",0.696,米,0.97
1866860285557116936,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K571+318,3,"115.687118,36.495471",0.222,米,0.97
1866860285561311233,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K571+334,2,"115.686949,36.495504",0.303,米,0.96
1866860285561311234,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K571+337,2,"115.686919,36.495508",0.204,米,0.98
1866860285561311235,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K571+483,2,"115.685321,36.495795",0.052,米,0.96
1866860285561311237,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K571+530,2,"115.684818,36.495893",0.218,米,0.98
1866860285561311238,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K571+546,2,"115.684642,36.495928",0.477,米,0.97
1866860285561311239,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,块状修补,2024-12-09,G309,上行,K571+617,2,"115.683880,36.496095",0.166,平方米,0.99
1866867064093446146,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K572+276,2,"115.676739,36.497506",0.392,米,0.97
1866867064093446147,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K572+278,2,"115.676711,36.497511",0.339,米,0.99
1866867064097640450,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K572+420,2,"115.675175,36.497814",0.021,米,0.97
1866867064097640451,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K572+458,2,"115.674766,36.497896",0.238,米,0.97
1866867064101834755,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K572+889,2,"115.670096,36.498826",0.054,米,0.96
1866867064101834756,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+148,1,"115.667287,36.499371",0.428,米,0.96
1866867064101834757,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+211,3,"115.666630,36.499587",0.18,米,0.97
1866867064101834758,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+219,1,"115.666519,36.499558",0.35,米,0.96
1866867064106029058,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+220,1,"115.666511,36.499560",0.317,米,0.97
1866867064106029059,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+221,1,"115.666500,36.499563",0.294,米,0.97
1866867064106029060,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+222,1,"115.666487,36.499566",0.37,米,0.99
1866867064106029061,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+223,1,"115.666476,36.499569",0.335,米,0.99
1866867064106029062,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+224,1,"115.666465,36.499572",0.315,米,0.98
1866867064106029063,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+225,1,"115.666457,36.499574",0.346,米,0.98
1866867064110223362,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+228,1,"115.666431,36.499582",0.392,米,0.98
1866867064110223363,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+243,3,"115.666287,36.499678",0.175,米,0.96
1866867064110223364,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+255,3,"115.666161,36.499713",0.144,米,0.97
1866867064110223365,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K573+280,3,"115.665897,36.499789",0.01,米,0.98
1866867064110223366,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,纵裂,2024-12-09,G309,上行,K573+281,3,"115.665885,36.499792",0.003,米,0.97
1866867064110223367,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+302,1,"115.665650,36.499796",0.305,米,0.96
1866867064114417666,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+306,1,"115.665599,36.499810",0.41,米,0.97
1866867064114417667,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+312,1,"115.665585,36.499815",0.302,米,0.98
1866867064114417668,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+314,1,"115.665573,36.499820",0.177,米,0.98
1866867064114417669,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+315,1,"115.665560,36.499823",0.101,米,0.97
1866867064114417670,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+316,1,"115.665553,36.499824",0.027,米,0.98
1866867064114417671,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+428,1,"115.664352,36.500131",0.179,米,0.97
1866867064114417672,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+769,1,"115.660741,36.501089",0.343,米,0.98
1866867064114417673,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+775,1,"115.660683,36.501103",0.308,米,0.97
1866867064122806274,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+891,2,"115.659441,36.501425",0.337,米,0.98
1866867064122806275,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+896,1,"115.659392,36.501419",2.483,米,0.97
1866867064122806276,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+921,2,"115.659117,36.501487",0.003,米,0.96
1866867064122806277,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+942,2,"115.658896,36.501546",0.316,米,0.97
1866867064122806278,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+944,2,"115.658872,36.501551",0.304,米,0.98
1866867064122806279,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+945,2,"115.658870,36.501553",0.056,米,0.98
1866867064122806280,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+949,2,"115.658817,36.501564",0.308,米,0.99
1866867064122806281,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+956,2,"115.658751,36.501581",0.333,米,0.97
1866867064122806282,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+957,2,"115.658733,36.501586",0.379,米,0.96
1866867064122806283,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+958,2,"115.658726,36.501587",0.389,米,0.98
1866867064127000578,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+959,2,"115.658714,36.501590",0.393,米,0.98
1866867064127000579,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+960,2,"115.658700,36.501594",0.248,米,0.98
1866867064127000580,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+962,2,"115.658686,36.501597",0.063,米,0.97
1866867064127000582,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+967,2,"115.658628,36.501608",0.254,米,0.99
1866867064127000581,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+967,2,"115.658633,36.501606",0.275,米,0.99
1866867064127000583,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+969,2,"115.658611,36.501614",0.35,米,0.99
1866867064131194882,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+970,2,"115.658596,36.501617",0.427,米,0.97
1866867064131194883,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K573+985,2,"115.658439,36.501658",0.065,米,0.98
1866867064131194884,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+018,2,"115.658085,36.501738",0.286,米,0.98
1866867064131194885,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+019,2,"115.658069,36.501743",0.273,米,0.97
1866867064131194886,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+027,2,"115.657985,36.501765",0.42,米,0.98
1866867064131194887,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+075,2,"115.657479,36.501888",0.377,米,0.99
1866867064135389186,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+076,2,"115.657469,36.501892",0.162,米,0.98
1866867064135389187,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+078,2,"115.657445,36.501898",0.177,米,0.98
1866867064135389188,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+099,1,"115.657208,36.501918",1.552,米,0.97
1866867064135389189,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+101,2,"115.657202,36.501970",1.376,米,0.98
1866867064135389190,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+111,2,"115.657086,36.501978",0.162,米,0.98
1866867064135389191,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+113,2,"115.657065,36.501983",0.007,米,0.97
1866867064139583490,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+118,2,"115.657012,36.501995",0.211,米,0.99
1866867064139583491,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+123,2,"115.656957,36.502011",0.098,米,0.98
1866867064139583492,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+125,2,"115.656942,36.502012",0.006,米,0.98
1866867064139583493,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+126,2,"115.656931,36.502014",0.233,米,0.99
1866867064139583494,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+127,2,"115.656919,36.502018",0.27,米,0.97
1866867064139583495,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+128,2,"115.656909,36.502020",0.284,米,0.98
1866867064143777793,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+129,2,"115.656894,36.502023",0.287,米,0.99
1866867064143777794,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+130,2,"115.656890,36.502024",0.297,米,0.99
1866867064143777795,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+131,2,"115.656869,36.502030",0.248,米,0.99
1866867064143777796,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+132,2,"115.656865,36.502030",0.306,米,1.0
1866867064143777797,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+133,2,"115.656853,36.502033",0.251,米,1.0
1866867064147972098,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+135,2,"115.656830,36.502039",0.025,米,0.99
1866867064143777798,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+135,2,"115.656836,36.502037",0.197,米,0.99
1866867064147972099,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+145,2,"115.656730,36.502062",0.238,米,0.99
1866867064147972100,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+146,2,"115.656715,36.502066",0.232,米,0.99
1866867064147972101,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+181,2,"115.656336,36.502157",0.185,米,0.98
1866867064147972103,G309,齐河茌平界-山东河北界,日间巡查,LQD-LZ-XC3-20241209-001,2024-12-09,202,小修工程类,条状修补,2024-12-09,G309,上行,K574+183,2,"115.656314,36.502162",0.437,米,0.99
